Municipality,Province,Region, Covid-19 cases ," Case per 10,000 population "
Baliguian,Zamboanga Del Norte,Region IX, 118 , 50 
Tampilisan,Zamboanga Del Norte,Region IX, 254 , 103 
Rizal,Zamboanga Del Norte,Region IX, 356 , 237 
Sibuco,Zamboanga Del Norte,Region IX, 212 , 59 
Sirawai,Zamboanga Del Norte,Region IX, 106 , 34 
La Libertad,Zamboanga Del Norte,Region IX, 162 , 200 
Sibutad,Zamboanga Del Norte,Region IX, 244 , 140 
Liloy,Zamboanga Del Norte,Region IX, 619 , 147 
Salug,Zamboanga Del Norte,Region IX, 339 , 106 
Godod,Zamboanga Del Norte,Region IX, 159 , 91 
Labason,Zamboanga Del Norte,Region IX, 374 , 85 
Dapitan City,Zamboanga Del Norte,Region IX," 1,518 ", 178 
Sindangan,Zamboanga Del Norte,Region IX, 653 , 63 
Siocon,Zamboanga Del Norte,Region IX, 805 , 166 
Manukan,Zamboanga Del Norte,Region IX, 310 , 84 
Polanco,Zamboanga Del Norte,Region IX, 690 , 163 
Lakewood,Zamboanga Del Sur,Region IX, 277 , 129 
Bayog,Zamboanga Del Sur,Region IX, 222 , 64 
Josefina,Zamboanga Del Sur,Region IX, 104 , 85 
Dimataling,Zamboanga Del Sur,Region IX, 164 , 52 
Tigbao,Zamboanga Del Sur,Region IX, 339 , 156 
Ramon Magsaysay ,Zamboanga Del Sur,Region IX, 407 , 149 
Kumalarang,Zamboanga Del Sur,Region IX, 258 , 88 
Zamboanga City,Zamboanga Del Sur,Region IX," 33,196 ", 340 
Dinas,Zamboanga Del Sur,Region IX, 269 , 74 
Vincenzo A. Sagun,Zamboanga Del Sur,Region IX, 497 , 200 
Pagadian City ,Zamboanga Del Sur,Region IX," 6,415 ", 305 
San Miguel,Zamboanga Del Sur,Region IX, 270 , 136 
Labangan,Zamboanga Del Sur,Region IX," 1,102 ", 249 
Molave,Zamboanga Del Sur,Region IX, 802 , 151 
Guipos,Zamboanga Del Sur,Region IX, 351 , 162 
Mahayag,Zamboanga Del Sur,Region IX, 360 , 75 
Lapuyan,Zamboanga Del Sur,Region IX, 403 , 145 
Tabina,Zamboanga Del Sur,Region IX, 139 , 54 
Midsalip,Zamboanga Del Sur,Region IX, 218 , 65 
Tukuran,Zamboanga Del Sur,Region IX, 607 , 143 
Tambulig,Zamboanga Del Sur,Region IX, 510 , 136 
Sominot ,Zamboanga Del Sur,Region IX, 164 , 86 
Dumalinao,Zamboanga Del Sur,Region IX, 299 , 91 
Pitogo,Zamboanga Del Sur,Region IX, 143 , 52 
Aurora,Zamboanga Del Sur,Region IX, 668 , 126 
San Pablo,Zamboanga Del Sur,Region IX, 139 , 52 
Dumingag,Zamboanga Del Sur,Region IX, 324 , 66 
Margosatubig,Zamboanga Del Sur,Region IX, 710 , 184 
