date,Region,"Case per 100,000"
2022-12-31,Bangsamoro Region,9.0
2023-01-01,Bangsamoro Region,1.0
2023-01-02,Bangsamoro Region,5.0
2022-12-19,Bangsamoro Region,2.0
2021-08-21,Bangsamoro Region,53.0
2022-09-26,Bangsamoro Region,10.0
2022-09-24,Bangsamoro Region,12.0
2022-06-20,Bangsamoro Region,3.0
2022-06-21,Bangsamoro Region,3.0
2022-06-22,Bangsamoro Region,5.0
2022-06-23,Bangsamoro Region,4.0
2022-06-24,Bangsamoro Region,1.0
2022-06-25,Bangsamoro Region,2.0
2022-06-26,Bangsamoro Region,1.0
2022-06-27,Bangsamoro Region,3.0
2022-06-28,Bangsamoro Region,1.0
2022-06-29,Bangsamoro Region,2.0
2022-06-30,Bangsamoro Region,1.0
2022-07-01,Bangsamoro Region,1.0
2022-07-02,Bangsamoro Region,3.0
2022-07-03,Bangsamoro Region,3.0
2022-07-04,Bangsamoro Region,0.0
2022-07-05,Bangsamoro Region,0.0
2022-07-06,Bangsamoro Region,1.0
2022-07-07,Bangsamoro Region,0.0
2022-07-08,Bangsamoro Region,2.0
2022-07-09,Bangsamoro Region,2.0
2022-07-10,Bangsamoro Region,3.0
2022-07-11,Bangsamoro Region,4.0
2022-07-12,Bangsamoro Region,1.0
2022-07-13,Bangsamoro Region,3.0
2022-07-14,Bangsamoro Region,1.0
2022-07-15,Bangsamoro Region,1.0
2022-07-16,Bangsamoro Region,1.0
2022-07-17,Bangsamoro Region,1.0
2022-07-18,Bangsamoro Region,0.0
2022-06-19,Bangsamoro Region,3.0
2022-06-18,Bangsamoro Region,5.0
2022-06-17,Bangsamoro Region,1.0
2022-06-16,Bangsamoro Region,1.0
2022-05-17,Bangsamoro Region,0.0
2022-05-18,Bangsamoro Region,3.0
2022-05-19,Bangsamoro Region,2.0
2022-05-20,Bangsamoro Region,0.0
2022-05-21,Bangsamoro Region,3.0
2022-05-22,Bangsamoro Region,2.0
2022-05-23,Bangsamoro Region,0.0
2022-05-24,Bangsamoro Region,2.0
2022-05-25,Bangsamoro Region,0.0
2022-05-26,Bangsamoro Region,2.0
2022-05-27,Bangsamoro Region,2.0
2022-05-28,Bangsamoro Region,0.0
2022-05-29,Bangsamoro Region,1.0
2022-05-30,Bangsamoro Region,0.0
2022-07-19,Bangsamoro Region,2.0
2022-05-31,Bangsamoro Region,1.0
2022-06-02,Bangsamoro Region,1.0
2022-06-03,Bangsamoro Region,0.0
2022-06-04,Bangsamoro Region,1.0
2022-06-05,Bangsamoro Region,0.0
2022-06-06,Bangsamoro Region,1.0
2022-06-07,Bangsamoro Region,0.0
2022-06-08,Bangsamoro Region,4.0
2022-06-09,Bangsamoro Region,1.0
2022-06-10,Bangsamoro Region,0.0
2022-06-11,Bangsamoro Region,1.0
2022-06-12,Bangsamoro Region,1.0
2022-06-13,Bangsamoro Region,0.0
2022-06-14,Bangsamoro Region,0.0
2022-06-15,Bangsamoro Region,0.0
2022-06-01,Bangsamoro Region,0.0
2022-09-25,Bangsamoro Region,31.0
2022-07-20,Bangsamoro Region,3.0
2022-07-22,Bangsamoro Region,7.0
2022-08-26,Bangsamoro Region,13.0
2022-08-27,Bangsamoro Region,14.0
2022-08-28,Bangsamoro Region,18.0
2022-08-29,Bangsamoro Region,18.0
2022-08-30,Bangsamoro Region,11.0
2022-08-31,Bangsamoro Region,6.0
2022-09-01,Bangsamoro Region,20.0
2022-09-02,Bangsamoro Region,43.0
2022-09-03,Bangsamoro Region,29.0
2022-09-04,Bangsamoro Region,26.0
2022-09-05,Bangsamoro Region,23.0
2022-09-06,Bangsamoro Region,22.0
2022-09-07,Bangsamoro Region,21.0
2022-09-08,Bangsamoro Region,25.0
2022-09-09,Bangsamoro Region,7.0
2022-09-10,Bangsamoro Region,21.0
2022-09-11,Bangsamoro Region,19.0
2022-09-12,Bangsamoro Region,22.0
2022-09-13,Bangsamoro Region,19.0
2022-09-14,Bangsamoro Region,16.0
2022-09-15,Bangsamoro Region,16.0
2022-09-16,Bangsamoro Region,17.0
2022-09-17,Bangsamoro Region,21.0
2022-09-18,Bangsamoro Region,12.0
2022-09-19,Bangsamoro Region,19.0
2022-09-20,Bangsamoro Region,12.0
2022-09-21,Bangsamoro Region,3.0
2022-09-22,Bangsamoro Region,24.0
2022-09-23,Bangsamoro Region,13.0
2022-08-25,Bangsamoro Region,28.0
2022-08-24,Bangsamoro Region,27.0
2022-08-23,Bangsamoro Region,5.0
2022-08-22,Bangsamoro Region,11.0
2022-07-23,Bangsamoro Region,9.0
2022-07-24,Bangsamoro Region,4.0
2022-07-25,Bangsamoro Region,1.0
2022-07-26,Bangsamoro Region,2.0
2022-07-27,Bangsamoro Region,9.0
2022-07-28,Bangsamoro Region,10.0
2022-07-29,Bangsamoro Region,6.0
2022-07-30,Bangsamoro Region,10.0
2022-07-31,Bangsamoro Region,6.0
2022-08-01,Bangsamoro Region,7.0
2022-08-02,Bangsamoro Region,11.0
2022-08-03,Bangsamoro Region,8.0
2022-08-04,Bangsamoro Region,10.0
2022-08-05,Bangsamoro Region,16.0
2022-07-21,Bangsamoro Region,10.0
2022-08-06,Bangsamoro Region,13.0
2022-08-08,Bangsamoro Region,10.0
2022-08-09,Bangsamoro Region,6.0
2022-08-10,Bangsamoro Region,6.0
2022-08-11,Bangsamoro Region,20.0
2022-08-12,Bangsamoro Region,21.0
2022-08-13,Bangsamoro Region,15.0
2022-08-14,Bangsamoro Region,19.0
2022-08-15,Bangsamoro Region,9.0
2022-08-16,Bangsamoro Region,21.0
2022-08-17,Bangsamoro Region,15.0
2022-08-18,Bangsamoro Region,26.0
2022-08-19,Bangsamoro Region,25.0
2022-08-20,Bangsamoro Region,15.0
2022-08-21,Bangsamoro Region,26.0
2022-08-07,Bangsamoro Region,14.0
2021-08-20,Bangsamoro Region,69.0
2022-05-13,Bangsamoro Region,4.0
2021-08-18,Bangsamoro Region,47.0
2020-08-19,Bangsamoro Region,3.0
2020-08-20,Bangsamoro Region,0.0
2020-08-21,Bangsamoro Region,8.0
2020-08-22,Bangsamoro Region,3.0
2020-08-23,Bangsamoro Region,2.0
2020-08-24,Bangsamoro Region,15.0
2020-08-25,Bangsamoro Region,8.0
2020-08-26,Bangsamoro Region,30.0
2020-08-27,Bangsamoro Region,35.0
2020-08-28,Bangsamoro Region,26.0
2020-08-29,Bangsamoro Region,5.0
2020-08-30,Bangsamoro Region,4.0
2020-08-31,Bangsamoro Region,32.0
2020-09-01,Bangsamoro Region,9.0
2020-09-02,Bangsamoro Region,10.0
2020-09-03,Bangsamoro Region,7.0
2020-09-04,Bangsamoro Region,13.0
2020-09-05,Bangsamoro Region,20.0
2020-09-06,Bangsamoro Region,19.0
2020-09-07,Bangsamoro Region,19.0
2020-09-08,Bangsamoro Region,25.0
2020-09-09,Bangsamoro Region,33.0
2020-09-10,Bangsamoro Region,19.0
